gamma,alpha,tau,lr,energy_ratio,viol_pct,reward_mean,raw_cost,score_0_1
0.9,0.1,0.005,0.0003,1.1546532236161873,0.013888888888888888,11.799518383054698,1.182431001393965,0.0
0.99,0.1,0.01,0.0003,1.0104223261415104,0.3888888888888889,-47.64810262657611,1.788200103919288,0.276026896531061
0.99,0.2,0.005,0.0003,0.6918018300362533,0.5972222222222222,-73.14374175161336,1.8862462744806976,0.3207029621540837
0.9,0.1,0.01,0.0003,1.1989017400285775,0.34722222222222227,-41.35213154343429,1.893346184473022,0.32393813230829155
0.95,0.05,0.02,0.0003,0.7933840113760543,0.5694444444444444,-93.91009279223647,1.9322729002649432,0.3416756176098657
0.99,0.05,0.01,0.0001,1.2447518048887691,0.3611111111111111,-50.88859189068173,1.9669740271109912,0.3574876560738857
0.9,0.1,0.005,0.0001,1.399881657299484,0.2916666666666667,-33.880242130822246,1.9832149906328174,0.3648880710817087
0.9,0.2,0.005,0.0001,1.0240357315973436,0.5138888888888888,-70.2286377865859,2.0518135093751213,0.39614591529352106
0.95,0.1,0.01,0.0003,0.6768947407957842,0.7222222222222222,-121.53350153513288,2.1213391852402284,0.42782623120641095
0.99,0.05,0.005,0.0003,0.40023805560258147,0.861111111111111,-152.38858268981502,2.1224602778248034,0.4283370722274438
0.9,0.1,0.02,0.0003,0.9668431784406674,0.5833333333333334,-89.17807395113131,2.133509845107334,0.4333719572228874
0.9,0.1,0.01,0.0001,0.6835460388607834,0.7361111111111112,-116.52503269260164,2.1557682610830056,0.4435143059459393
0.95,0.1,0.02,0.001,0.7305866567929837,0.7222222222222222,-112.29730448092772,2.175031101237428,0.4522916799718403
0.95,0.1,0.005,0.001,1.3346755272271016,0.4305555555555556,-51.79919907427132,2.1957866383382125,0.46174922157949494
0.99,0.05,0.02,0.0001,0.7968488965943621,0.7083333333333334,-107.08713794034803,2.213515563261029,0.46982764635368135
0.95,0.05,0.01,0.001,1.0044254852248007,0.6111111111111112,-92.94905811927526,2.226647707447023,0.4758114857230833
0.99,0.05,0.01,0.0003,0.5338472549577653,0.8611111111111112,-123.86414568243246,2.2560694771799876,0.4892179136111782
0.9,0.05,0.02,0.0001,1.5125808986959937,0.38888888888888884,-44.68618726821024,2.2903586764737716,0.5048422517065709
0.9,0.2,0.02,0.001,0.40021599006409375,0.9583333333333334,-161.81486548727898,2.3168826567307605,0.5169282625702263
0.95,0.05,0.01,0.0001,0.710551031216371,0.8055555555555557,-86.82059261402424,2.321662142327482,0.5191060999191076
0.95,0.2,0.02,0.0001,0.9640967036461703,0.6805555555555557,-95.52931397774582,2.325207814757282,0.5207217335868423
0.99,0.1,0.02,0.0001,0.9103517478105969,0.7083333333333334,-105.9920571661038,2.327018414477264,0.521546757873296
0.9,0.2,0.005,0.0003,0.9103654392404978,0.7222222222222222,-117.61568944414903,2.3548098836849425,0.5342103172451004
0.95,0.05,0.02,0.0001,0.6394606561768215,0.8611111111111112,-121.9831333019532,2.361682878399044,0.5373420903792847
0.95,0.1,0.02,0.0001,0.45148379770469665,0.9583333333333334,-154.69457107086822,2.3681504643713636,0.5402891335291334
0.95,0.2,0.02,0.0003,1.0972182210973989,0.638888888888889,-66.19536197494864,2.3749959988751765,0.5434083940465594
0.99,0.2,0.02,0.0003,0.7639619332789417,0.8055555555555555,-161.2687874161484,2.3750730443900525,0.5434435008789715
0.99,0.1,0.005,0.0001,0.749502989253155,0.8194444444444445,-127.62732589818334,2.388391878142044,0.5495124078777759
0.99,0.2,0.02,0.001,0.7576981976845051,0.8194444444444443,-115.34211208968468,2.3965870865733936,0.5532466656012227
0.99,0.05,0.005,0.001,0.5936676830993011,0.9027777777777778,-128.78483447652056,2.399223238654857,0.5544478640030507
0.99,0.2,0.01,0.0003,0.4000077975547049,1.0,-165.18164274481722,2.400007797554705,0.5548053588923874
0.99,0.2,0.01,0.0001,0.40016651029160394,1.0,-212.12831464240216,2.400166510291604,0.5548776785006732
0.9,0.05,0.005,0.0003,0.4004685611285672,1.0,-169.61480638297826,2.400468561128567,0.5550153120557256
0.9,0.05,0.01,0.0001,0.4130430946676455,1.0,-161.67394625166278,2.4130430946676453,0.5607450685811872
0.95,0.2,0.005,0.001,1.2276517013274568,0.5972222222222222,-78.3594376742871,2.422096145771901,0.5648702139377718
0.95,0.1,0.01,0.0001,0.7557812496672476,0.8333333333333334,-123.64199728855681,2.4224479163339145,0.5650305029589827
0.9,0.1,0.005,0.001,0.5914170397808355,0.9166666666666666,-148.155068128578,2.424750373114169,0.5660796485770095
0.99,0.05,0.01,0.001,1.5359206145233486,0.4444444444444444,-71.93365230931461,2.4248095034122374,0.5661065920982271
0.9,0.05,0.02,0.001,1.3785732095207173,0.5277777777777778,-80.93928741037753,2.434128765076273,0.5703530399021196
0.99,0.1,0.02,0.0003,1.2286074957539455,0.6111111111111112,-71.5296676751954,2.450829717976168,0.5779630553004814
0.99,0.2,0.005,0.0001,0.7150119575815368,0.875,-161.02398849562908,2.465011957581537,0.584425384870957
0.95,0.05,0.02,0.001,0.824191860355806,0.8333333333333334,-127.00673293993866,2.490858527022473,0.5962027243209463
0.9,0.1,0.02,0.0001,0.5259747874222485,0.9861111111111112,-178.09691966853998,2.498197009644471,0.5995466033252614
0.95,0.1,0.02,0.0003,1.0485943615039786,0.7361111111111112,-106.70920409222269,2.5208165837262007,0.6098535186311197
0.95,0.2,0.02,0.001,1.5999555197992423,0.47222222222222215,-67.40405335914913,2.5443999642436865,0.6205996053939067
0.99,0.1,0.01,0.0001,1.573714074748881,0.48611111111111116,-50.217004296820086,2.545936296971103,0.6212996562103317
0.99,0.1,0.02,0.001,1.490653114458086,0.5277777777777778,-60.63777099777101,2.5462086700136415,0.6214237666763776
0.99,0.2,0.02,0.0001,0.5513647285898456,1.0,-139.49883422051093,2.5513647285898458,0.6237731946039311
0.95,0.1,0.005,0.0001,0.9488715758208275,0.8055555555555555,-115.21106987411406,2.5599826869319386,0.627700084050232
0.95,0.1,0.01,0.001,0.7342418163008255,0.9166666666666666,-141.64074654723194,2.567575149634159,0.6311596925181864
0.95,0.2,0.005,0.0001,1.1311312005763792,0.7222222222222222,-96.02770063523026,2.5755756450208236,0.6348052266054911
0.99,0.05,0.02,0.001,1.1167956086342754,0.7361111111111112,-99.26640788670572,2.5890178308564975,0.6409303406519933
0.9,0.05,0.005,0.001,1.2078106994929276,0.6944444444444445,-92.37513344377113,2.5966995883818167,0.6444306375155648
0.95,0.05,0.01,0.0003,1.5141394764318115,0.5416666666666666,-77.42516287839824,2.5974728097651445,0.6447829663119358
0.9,0.1,0.01,0.001,1.2154262055920457,0.6944444444444443,-101.2547389404266,2.6043150944809343,0.6479007460194316
0.99,0.1,0.005,0.0003,1.3672776048901405,0.625,-79.31929285864844,2.6172776048901403,0.6538072894608001
0.9,0.2,0.005,0.001,1.0959056380829966,0.763888888888889,-103.53485611963731,2.6236834158607745,0.6567261839944065
0.95,0.05,0.005,0.0001,1.217434906472456,0.7083333333333334,-92.7281568353282,2.6341015731391226,0.6614733584691804
0.95,0.2,0.005,0.0003,1.1188688328025231,0.763888888888889,-95.4577099807031,2.646646610580301,0.667189674698118
0.95,0.2,0.01,0.001,0.9269026257385425,0.861111111111111,-125.9044928494656,2.6491248479607648,0.6683189171275271
0.99,0.1,0.01,0.001,1.3499498700099595,0.6527777777777778,-85.49881228939388,2.655505425565515,0.6712263137361899
0.9,0.2,0.02,0.0003,0.9875497410791642,0.8472222222222222,-151.41737039312488,2.6819941855236085,0.6832962759936048
0.95,0.05,0.005,0.0003,1.3811816399163959,0.6666666666666666,-86.87926448605958,2.714514973249729,0.698114813405574
0.95,0.2,0.01,0.0003,1.581623355768255,0.5694444444444445,-72.00200493993795,2.720512244657144,0.7008475513536505
0.99,0.05,0.02,0.0003,1.3195347436168505,0.7222222222222222,-95.55876729903974,2.763979188061295,0.7206538528627927
0.95,0.05,0.005,0.001,1.3621189302601104,0.7083333333333334,-93.94827497445597,2.7787855969267774,0.7274005936108292
0.99,0.1,0.005,0.001,1.2127815691210977,0.7916666666666666,-114.21645745715902,2.796114902454431,0.7352969263948818
0.9,0.2,0.01,0.001,1.2895889459925514,0.7638888888888888,-102.83590375549882,2.817366723770329,0.7449806066271774
0.99,0.2,0.01,0.001,1.2437911121940612,0.7916666666666666,-83.62975455127004,2.8271244455273945,0.7494268447112729
0.9,0.2,0.01,0.0003,1.1256465828623254,0.8611111111111112,-105.15907938016112,2.8478688050845475,0.7588792931197753
0.9,0.2,0.01,0.0001,1.5676577419123083,0.6527777777777778,-67.53857576037585,2.873213297467864,0.7704278543579732
0.9,0.2,0.02,0.0001,1.2037345198043625,0.8472222222222222,-109.13202534945658,2.8981789642488067,0.7818037985793678
0.9,0.05,0.005,0.0001,1.5999883470698755,0.6805555555555555,-79.79796185532463,2.9610994581809864,0.8104743738792609
0.95,0.2,0.01,0.0001,1.5198565253836431,0.7222222222222222,-73.06935549446308,2.9643009698280878,0.811933186024802
0.9,0.1,0.02,0.001,1.5093142839486386,0.75,-102.16935512002453,3.0093142839486386,0.8324441122960111
0.99,0.05,0.005,0.0001,1.6000000000000003,0.7361111111111112,-90.03112431486001,3.072222222222223,0.8611089664400026
0.95,0.1,0.005,0.0003,1.5999693611196104,0.7638888888888888,-92.07919527293717,3.127747138897388,0.8864096467918053
0.99,0.2,0.005,0.001,1.596821460777041,0.7777777777777778,-93.71066595464269,3.1523770163325966,0.8976325840496474
0.9,0.05,0.01,0.001,1.5984724525153478,0.8611111111111112,-95.65607999770323,3.3206946747375703,0.9743288049153491
0.9,0.05,0.02,0.0003,1.5969737507319908,0.8888888888888888,-102.29243052312403,3.3747515285097682,0.9989605425209319
0.9,0.05,0.01,0.0003,1.5992549459057999,0.8888888888888888,-90.41119577472695,3.3770327236835778,1.0
